source_id,target_id,source_name,target_name,relation,key,weight
3,16,Claudia Antonini Bova,Xyoby Chavez Pacheco,shared_area,matematica_aplicada,1.0
3,17,Claudia Antonini Bova,Fabien Cornillier,shared_area,investigacion_de_operaciones,1.0
3,44,Claudia Antonini Bova,Jose Larco Martinelli,shared_area,sistemas_logisticos_alimentarios,1.0
3,52,Claudia Antonini Bova,Angel Napa Bernuy,shared_area,investigacion_de_operaciones,1.0
3,81,Claudia Antonini Bova,Jorge Tipe Villanueva,shared_area,matematica_aplicada,1.0
6,47,Andrés Julián Arias Moreno,José Luis Mantari Laureano,shared_area,biomecanica,1.0
6,85,Andrés Julián Arias Moreno,Emir Augusto Vela Saavedra,shared_area,biomecanica,1.0
9,74,Jesús Edwin Bellido Angulo,Yamilet Rosario Serrano Llerena,shared_area,ingenieria_de_software,1.0
12,41,Jhedmar Jhonatan Callupe Luna,Elvis Jara Alegria,shared_area,inteligencia_artificial,1.0
12,70,Jhedmar Jhonatan Callupe Luna,Heider Sánchez Enriquez,shared_area,inteligencia_artificial,1.0
12,74,Jhedmar Jhonatan Callupe Luna,Yamilet Rosario Serrano Llerena,shared_area,inteligencia_artificial,1.0
12,76,Jhedmar Jhonatan Callupe Luna,Aurea Rossy Soriano Vargas,shared_area,inteligencia_artificial,1.0
16,81,Xyoby Chavez Pacheco,Jorge Tipe Villanueva,shared_area,matematica_aplicada,1.0
17,52,Fabien Cornillier,Angel Napa Bernuy,shared_area,investigacion_de_operaciones | optimizacion_combinatoria,2.0
23,83,Alberto Donayre Torres,Julio Ernesto Valdivia Silva,shared_area,biologia_sintetica,1.0
30,41,Germain García Zanabria,Elvis Jara Alegria,shared_area,aprendizaje_automatico,1.0
30,50,Germain García Zanabria,Rensso Victor Hugo Mora Colque,shared_area,aprendizaje_automatico,1.0
30,69,Germain García Zanabria,Harry Gustavo Saavedra Espinoza,shared_area,aprendizaje_automatico,1.0
30,74,Germain García Zanabria,Yamilet Rosario Serrano Llerena,shared_area,ciencia_de_datos,1.0
30,76,Germain García Zanabria,Aurea Rossy Soriano Vargas,shared_area,aprendizaje_automatico | ciencia_de_datos,2.0
31,39,Jorge Gonzalez Reaño,Deyby Huamanchahua Canchanya,shared_area,nivel_vii,1.0
41,50,Elvis Jara Alegria,Rensso Victor Hugo Mora Colque,shared_area,aprendizaje_automatico,1.0
41,69,Elvis Jara Alegria,Harry Gustavo Saavedra Espinoza,shared_area,aprendizaje_automatico,1.0
41,70,Elvis Jara Alegria,Heider Sánchez Enriquez,shared_area,inteligencia_artificial,1.0
41,74,Elvis Jara Alegria,Yamilet Rosario Serrano Llerena,shared_area,inteligencia_artificial,1.0
41,76,Elvis Jara Alegria,Aurea Rossy Soriano Vargas,shared_area,aprendizaje_automatico | inteligencia_artificial,2.0
47,85,José Luis Mantari Laureano,Emir Augusto Vela Saavedra,shared_area,biomecanica,1.0
50,69,Rensso Victor Hugo Mora Colque,Harry Gustavo Saavedra Espinoza,shared_area,aprendizaje_automatico,1.0
50,76,Rensso Victor Hugo Mora Colque,Aurea Rossy Soriano Vargas,shared_area,aprendizaje_automatico,1.0
52,65,Angel Napa Bernuy,Jose Renom Andara,shared_area,teoria_de_grafos,1.0
69,76,Harry Gustavo Saavedra Espinoza,Aurea Rossy Soriano Vargas,shared_area,aprendizaje_automatico,1.0
70,74,Heider Sánchez Enriquez,Yamilet Rosario Serrano Llerena,shared_area,inteligencia_artificial,1.0
70,76,Heider Sánchez Enriquez,Aurea Rossy Soriano Vargas,shared_area,inteligencia_artificial,1.0
74,76,Yamilet Rosario Serrano Llerena,Aurea Rossy Soriano Vargas,shared_area,ciencia_de_datos | inteligencia_artificial,2.0
86,87,Rafael Vera Pomalaza,Eunice Villicaña Ortiz,shared_area,energias_renovables,1.0
39,31,Deyby Huamanchahua Canchanya,Jorge Gonzalez Reaño,predicted_similarity,w2v_cosine,1.0
87,86,Eunice Villicaña Ortiz,Rafael Vera Pomalaza,predicted_similarity,w2v_cosine,0.9986
50,69,Rensso Victor Hugo Mora Colque,Harry Gustavo Saavedra Espinoza,predicted_similarity,w2v_cosine,0.9984
17,52,Fabien Cornillier,Angel Napa Bernuy,predicted_similarity,w2v_cosine,0.9977
12,70,Jhedmar Jhonatan Callupe Luna,Heider Sánchez Enriquez,predicted_similarity,w2v_cosine,0.9966
74,12,Yamilet Rosario Serrano Llerena,Jhedmar Jhonatan Callupe Luna,predicted_similarity,w2v_cosine,0.9962
74,76,Yamilet Rosario Serrano Llerena,Aurea Rossy Soriano Vargas,predicted_similarity,w2v_cosine,0.9958
19,71,Jose De La Puente Maldonado,Nedher Sanchez Ramirez,predicted_similarity,w2v_cosine,0.9954
71,18,Nedher Sanchez Ramirez,Antuané De La Flor Basterrechea,predicted_similarity,w2v_cosine,0.9954
16,81,Xyoby Chavez Pacheco,Jorge Tipe Villanueva,predicted_similarity,w2v_cosine,0.9953
12,41,Jhedmar Jhonatan Callupe Luna,Elvis Jara Alegria,predicted_similarity,w2v_cosine,0.9951
71,4,Nedher Sanchez Ramirez,Sergio Aranda Egusquiza,predicted_similarity,w2v_cosine,0.9951
19,4,Jose De La Puente Maldonado,Sergio Aranda Egusquiza,predicted_similarity,w2v_cosine,0.995
42,46,Enrique Juarez Aquino,Milagros Lunga Calderón,predicted_similarity,w2v_cosine,0.995
46,71,Milagros Lunga Calderón,Nedher Sanchez Ramirez,predicted_similarity,w2v_cosine,0.995
71,42,Nedher Sanchez Ramirez,Enrique Juarez Aquino,predicted_similarity,w2v_cosine,0.9949
19,42,Jose De La Puente Maldonado,Enrique Juarez Aquino,predicted_similarity,w2v_cosine,0.9948
4,42,Sergio Aranda Egusquiza,Enrique Juarez Aquino,predicted_similarity,w2v_cosine,0.9948
46,4,Milagros Lunga Calderón,Sergio Aranda Egusquiza,predicted_similarity,w2v_cosine,0.9947
6,85,Andrés Julián Arias Moreno,Emir Augusto Vela Saavedra,predicted_similarity,w2v_cosine,0.9947
84,71,Elba Rosaura Vazques Arrieta,Nedher Sanchez Ramirez,predicted_similarity,w2v_cosine,0.9946
18,19,Antuané De La Flor Basterrechea,Jose De La Puente Maldonado,predicted_similarity,w2v_cosine,0.9945
84,42,Elba Rosaura Vazques Arrieta,Enrique Juarez Aquino,predicted_similarity,w2v_cosine,0.9945
19,46,Jose De La Puente Maldonado,Milagros Lunga Calderón,predicted_similarity,w2v_cosine,0.9945
18,42,Antuané De La Flor Basterrechea,Enrique Juarez Aquino,predicted_similarity,w2v_cosine,0.9943
46,18,Milagros Lunga Calderón,Antuané De La Flor Basterrechea,predicted_similarity,w2v_cosine,0.9943
84,19,Elba Rosaura Vazques Arrieta,Jose De La Puente Maldonado,predicted_similarity,w2v_cosine,0.9943
48,19,Giancarlo Marcone Flores,Jose De La Puente Maldonado,predicted_similarity,w2v_cosine,0.9942
48,42,Giancarlo Marcone Flores,Enrique Juarez Aquino,predicted_similarity,w2v_cosine,0.9941
