source_id,target_id,department
0,35,Departamento de Negocios Digitales
0,46,Departamento de Negocios Digitales
35,46,Departamento de Negocios Digitales
1,18,"Departamento de Humanidades, Artes y Ciencias Sociales"
1,20,"Departamento de Humanidades, Artes y Ciencias Sociales"
1,36,"Departamento de Humanidades, Artes y Ciencias Sociales"
1,48,"Departamento de Humanidades, Artes y Ciencias Sociales"
1,78,"Departamento de Humanidades, Artes y Ciencias Sociales"
1,89,"Departamento de Humanidades, Artes y Ciencias Sociales"
1,91,"Departamento de Humanidades, Artes y Ciencias Sociales"
18,20,"Departamento de Humanidades, Artes y Ciencias Sociales"
18,36,"Departamento de Humanidades, Artes y Ciencias Sociales"
18,48,"Departamento de Humanidades, Artes y Ciencias Sociales"
18,78,"Departamento de Humanidades, Artes y Ciencias Sociales"
18,89,"Departamento de Humanidades, Artes y Ciencias Sociales"
18,91,"Departamento de Humanidades, Artes y Ciencias Sociales"
20,36,"Departamento de Humanidades, Artes y Ciencias Sociales"
20,48,"Departamento de Humanidades, Artes y Ciencias Sociales"
20,78,"Departamento de Humanidades, Artes y Ciencias Sociales"
20,89,"Departamento de Humanidades, Artes y Ciencias Sociales"
20,91,"Departamento de Humanidades, Artes y Ciencias Sociales"
36,48,"Departamento de Humanidades, Artes y Ciencias Sociales"
36,78,"Departamento de Humanidades, Artes y Ciencias Sociales"
36,89,"Departamento de Humanidades, Artes y Ciencias Sociales"
36,91,"Departamento de Humanidades, Artes y Ciencias Sociales"
48,78,"Departamento de Humanidades, Artes y Ciencias Sociales"
48,89,"Departamento de Humanidades, Artes y Ciencias Sociales"
48,91,"Departamento de Humanidades, Artes y Ciencias Sociales"
78,89,"Departamento de Humanidades, Artes y Ciencias Sociales"
78,91,"Departamento de Humanidades, Artes y Ciencias Sociales"
89,91,"Departamento de Humanidades, Artes y Ciencias Sociales"
2,5,Departamento de Ingeniería Mecánica y de la Energía
2,8,Departamento de Ingeniería Mecánica y de la Energía
2,15,Departamento de Ingeniería Mecánica y de la Energía
2,43,Departamento de Ingeniería Mecánica y de la Energía
2,53,Departamento de Ingeniería Mecánica y de la Energía
2,60,Departamento de Ingeniería Mecánica y de la Energía
2,62,Departamento de Ingeniería Mecánica y de la Energía
2,85,Departamento de Ingeniería Mecánica y de la Energía
2,86,Departamento de Ingeniería Mecánica y de la Energía
2,87,Departamento de Ingeniería Mecánica y de la Energía
5,8,Departamento de Ingeniería Mecánica y de la Energía
5,15,Departamento de Ingeniería Mecánica y de la Energía
5,43,Departamento de Ingeniería Mecánica y de la Energía
5,53,Departamento de Ingeniería Mecánica y de la Energía
5,60,Departamento de Ingeniería Mecánica y de la Energía
5,62,Departamento de Ingeniería Mecánica y de la Energía
5,85,Departamento de Ingeniería Mecánica y de la Energía
5,86,Departamento de Ingeniería Mecánica y de la Energía
5,87,Departamento de Ingeniería Mecánica y de la Energía
8,15,Departamento de Ingeniería Mecánica y de la Energía
8,43,Departamento de Ingeniería Mecánica y de la Energía
8,53,Departamento de Ingeniería Mecánica y de la Energía
8,60,Departamento de Ingeniería Mecánica y de la Energía
8,62,Departamento de Ingeniería Mecánica y de la Energía
8,85,Departamento de Ingeniería Mecánica y de la Energía
8,86,Departamento de Ingeniería Mecánica y de la Energía
8,87,Departamento de Ingeniería Mecánica y de la Energía
15,43,Departamento de Ingeniería Mecánica y de la Energía
15,53,Departamento de Ingeniería Mecánica y de la Energía
15,60,Departamento de Ingeniería Mecánica y de la Energía
15,62,Departamento de Ingeniería Mecánica y de la Energía
15,85,Departamento de Ingeniería Mecánica y de la Energía
15,86,Departamento de Ingeniería Mecánica y de la Energía
15,87,Departamento de Ingeniería Mecánica y de la Energía
43,53,Departamento de Ingeniería Mecánica y de la Energía
43,60,Departamento de Ingeniería Mecánica y de la Energía
43,62,Departamento de Ingeniería Mecánica y de la Energía
43,85,Departamento de Ingeniería Mecánica y de la Energía
43,86,Departamento de Ingeniería Mecánica y de la Energía
43,87,Departamento de Ingeniería Mecánica y de la Energía
53,60,Departamento de Ingeniería Mecánica y de la Energía
53,62,Departamento de Ingeniería Mecánica y de la Energía
53,85,Departamento de Ingeniería Mecánica y de la Energía
53,86,Departamento de Ingeniería Mecánica y de la Energía
53,87,Departamento de Ingeniería Mecánica y de la Energía
60,62,Departamento de Ingeniería Mecánica y de la Energía
60,85,Departamento de Ingeniería Mecánica y de la Energía
60,86,Departamento de Ingeniería Mecánica y de la Energía
60,87,Departamento de Ingeniería Mecánica y de la Energía
62,85,Departamento de Ingeniería Mecánica y de la Energía
62,86,Departamento de Ingeniería Mecánica y de la Energía
62,87,Departamento de Ingeniería Mecánica y de la Energía
85,86,Departamento de Ingeniería Mecánica y de la Energía
85,87,Departamento de Ingeniería Mecánica y de la Energía
86,87,Departamento de Ingeniería Mecánica y de la Energía
3,11,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
3,17,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
3,19,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
3,26,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
3,29,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
3,44,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
3,55,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
11,17,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
11,19,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
11,26,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
11,29,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
11,44,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
11,55,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
17,19,Departamento de Ingeniería Industrial y Gestión de la Ingeniería
