source_id,target_id,source_name,target_name,relation,key,weight
3,16,Claudia Antonini Bova,Xyoby Chavez Pacheco,research_area_shared,matematica_aplicada,1.0
3,17,Claudia Antonini Bova,Fabien Cornillier,research_area_shared,investigacion_de_operaciones,1.0
3,44,Claudia Antonini Bova,Jose Larco Martinelli,research_area_shared,sistemas_logisticos_alimentarios,1.0
3,52,Claudia Antonini Bova,Angel Napa Bernuy,research_area_shared,investigacion_de_operaciones,1.0
3,81,Claudia Antonini Bova,Jorge Tipe Villanueva,research_area_shared,matematica_aplicada,1.0
6,47,Andrés Julián Arias Moreno,José Luis Mantari Laureano,research_area_shared,biomecanica,1.0
6,85,Andrés Julián Arias Moreno,Emir Augusto Vela Saavedra,research_area_shared,biomecanica,1.0
9,74,Jesús Edwin Bellido Angulo,Yamilet Rosario Serrano Llerena,research_area_shared,ingenieria_de_software,1.0
12,41,Jhedmar Jhonatan Callupe Luna,Elvis Jara Alegria,research_area_shared,inteligencia_artificial,1.0
12,70,Jhedmar Jhonatan Callupe Luna,Heider Sánchez Enriquez,research_area_shared,inteligencia_artificial,1.0
12,74,Jhedmar Jhonatan Callupe Luna,Yamilet Rosario Serrano Llerena,research_area_shared,inteligencia_artificial,1.0
12,76,Jhedmar Jhonatan Callupe Luna,Aurea Rossy Soriano Vargas,research_area_shared,inteligencia_artificial,1.0
16,81,Xyoby Chavez Pacheco,Jorge Tipe Villanueva,research_area_shared,matematica_aplicada,1.0
17,52,Fabien Cornillier,Angel Napa Bernuy,research_area_shared,investigacion_de_operaciones | optimizacion_combinatoria,2.0
23,83,Alberto Donayre Torres,Julio Ernesto Valdivia Silva,research_area_shared,biologia_sintetica,1.0
30,41,Germain García Zanabria,Elvis Jara Alegria,research_area_shared,aprendizaje_automatico,1.0
30,50,Germain García Zanabria,Rensso Victor Hugo Mora Colque,research_area_shared,aprendizaje_automatico,1.0
30,69,Germain García Zanabria,Harry Gustavo Saavedra Espinoza,research_area_shared,aprendizaje_automatico,1.0
30,74,Germain García Zanabria,Yamilet Rosario Serrano Llerena,research_area_shared,ciencia_de_datos,1.0
30,76,Germain García Zanabria,Aurea Rossy Soriano Vargas,research_area_shared,aprendizaje_automatico | ciencia_de_datos,2.0
31,39,Jorge Gonzalez Reaño,Deyby Huamanchahua Canchanya,research_area_shared,nivel_vii,1.0
41,50,Elvis Jara Alegria,Rensso Victor Hugo Mora Colque,research_area_shared,aprendizaje_automatico,1.0
41,69,Elvis Jara Alegria,Harry Gustavo Saavedra Espinoza,research_area_shared,aprendizaje_automatico,1.0
41,70,Elvis Jara Alegria,Heider Sánchez Enriquez,research_area_shared,inteligencia_artificial,1.0
41,74,Elvis Jara Alegria,Yamilet Rosario Serrano Llerena,research_area_shared,inteligencia_artificial,1.0
41,76,Elvis Jara Alegria,Aurea Rossy Soriano Vargas,research_area_shared,aprendizaje_automatico | inteligencia_artificial,2.0
47,85,José Luis Mantari Laureano,Emir Augusto Vela Saavedra,research_area_shared,biomecanica,1.0
50,69,Rensso Victor Hugo Mora Colque,Harry Gustavo Saavedra Espinoza,research_area_shared,aprendizaje_automatico,1.0
50,76,Rensso Victor Hugo Mora Colque,Aurea Rossy Soriano Vargas,research_area_shared,aprendizaje_automatico,1.0
52,65,Angel Napa Bernuy,Jose Renom Andara,research_area_shared,teoria_de_grafos,1.0
69,76,Harry Gustavo Saavedra Espinoza,Aurea Rossy Soriano Vargas,research_area_shared,aprendizaje_automatico,1.0
70,74,Heider Sánchez Enriquez,Yamilet Rosario Serrano Llerena,research_area_shared,inteligencia_artificial,1.0
70,76,Heider Sánchez Enriquez,Aurea Rossy Soriano Vargas,research_area_shared,inteligencia_artificial,1.0
74,76,Yamilet Rosario Serrano Llerena,Aurea Rossy Soriano Vargas,research_area_shared,ciencia_de_datos | inteligencia_artificial,2.0
86,87,Rafael Vera Pomalaza,Eunice Villicaña Ortiz,research_area_shared,energias_renovables,1.0
39,31,Deyby Huamanchahua Canchanya,Jorge Gonzalez Reaño,research_area_predicted,w2v_sif_cosine,1.0
87,86,Eunice Villicaña Ortiz,Rafael Vera Pomalaza,research_area_predicted,w2v_sif_cosine,0.9875
50,69,Rensso Victor Hugo Mora Colque,Harry Gustavo Saavedra Espinoza,research_area_predicted,w2v_sif_cosine,0.9814
12,70,Jhedmar Jhonatan Callupe Luna,Heider Sánchez Enriquez,research_area_predicted,w2v_sif_cosine,0.9797
17,52,Fabien Cornillier,Angel Napa Bernuy,research_area_predicted,w2v_sif_cosine,0.9619
76,50,Aurea Rossy Soriano Vargas,Rensso Victor Hugo Mora Colque,research_area_predicted,w2v_sif_cosine,0.9468
69,76,Harry Gustavo Saavedra Espinoza,Aurea Rossy Soriano Vargas,research_area_predicted,w2v_sif_cosine,0.9443
